0,1,2,3,4,5,6,7,8,9
curvature_std_midbody_w_backward_abs_10th,d_angular_velocity_head_tip_abs_10th,curvature_std_neck_w_forward_abs_10th,curvature_std_midbody_w_backward_abs_10th,d_major_axis_50th,d_major_axis_50th,angular_velocity_tail_tip_w_backward_abs_IQR,relative_to_head_base_radial_velocity_head_tip_10th,minor_axis_w_forward_10th,d_curvature_hips_w_backward_abs_90th
curvature_mean_neck_w_forward_abs_IQR,relative_to_hips_radial_velocity_tail_tip_50th,angular_velocity_head_tip_w_forward_abs_90th,d_major_axis_50th,d_relative_to_head_base_angular_velocity_head_tip_w_backward_abs_IQR,relative_to_body_radial_velocity_head_tip_50th,d_major_axis_w_backward_90th,d_area_w_backward_10th,d_length_IQR,curvature_hips_abs_90th
width_midbody_w_backward_10th,d_speed_head_tip_50th,curvature_mean_neck_w_forward_abs_IQR,d_length_IQR,curvature_mean_tail_w_forward_abs_IQR,curvature_tail_w_backward_abs_90th,d_area_w_backward_90th,d_speed_head_tip_50th,path_density_midbody_95th,curvature_tail_w_backward_abs_90th
d_curvature_std_neck_w_forward_abs_90th,relative_to_head_base_radial_velocity_head_tip_w_forward_90th,curvature_std_tail_abs_10th,relative_to_head_base_radial_velocity_head_tip_10th,d_curvature_std_tail_w_backward_abs_90th,curvature_std_neck_abs_50th,relative_to_body_radial_velocity_head_tip_w_forward_IQR,d_curvature_std_head_w_forward_abs_90th,relative_to_neck_angular_velocity_head_tip_w_forward_abs_50th,d_curvature_std_midbody_w_backward_abs_IQR
minor_axis_w_forward_90th,quirkiness_50th,width_midbody_w_backward_10th,turn_intra_frequency,d_area_w_backward_10th,d_curvature_std_head_w_forward_abs_90th,d_speed_head_tip_50th,curvature_std_neck_w_backward_abs_50th,d_curvature_neck_w_forward_abs_IQR,d_curvature_neck_w_backward_abs_10th
relative_to_head_base_angular_velocity_head_tip_w_forward_abs_IQR,relative_to_head_base_radial_velocity_head_tip_w_backward_90th,relative_to_head_base_angular_velocity_head_tip_abs_50th,d_relative_to_body_angular_velocity_head_tip_w_backward_abs_90th,relative_to_head_base_radial_velocity_head_tip_w_forward_90th,curvature_mean_neck_w_forward_abs_IQR,d_curvature_std_neck_w_backward_abs_IQR,width_midbody_w_backward_10th,relative_to_head_base_radial_velocity_head_tip_w_forward_90th,d_curvature_mean_neck_w_backward_abs_90th
d_curvature_tail_w_backward_abs_90th,d_width_tail_base_IQR,curvature_head_w_forward_abs_IQR,relative_to_head_base_angular_velocity_head_tip_w_backward_abs_50th,d_area_w_forward_IQR,speed_tail_tip_w_backward_50th,curvature_mean_neck_w_forward_abs_IQR,d_curvature_std_head_w_forward_abs_10th,angular_velocity_midbody_abs_90th,relative_to_head_base_radial_velocity_head_tip_w_forward_90th
width_midbody_10th,minor_axis_w_forward_90th,width_midbody_10th,d_relative_to_tail_base_radial_velocity_tail_tip_50th,curvature_mean_neck_w_forward_abs_IQR,d_width_tail_base_IQR,curvature_mean_head_abs_10th,d_relative_to_body_angular_velocity_head_tip_w_backward_abs_90th,curvature_neck_abs_50th,curvature_std_tail_abs_90th
d_width_head_base_w_backward_50th,d_relative_to_neck_radial_velocity_head_tip_w_forward_90th,relative_to_head_base_radial_velocity_head_tip_w_backward_IQR,relative_to_neck_radial_velocity_head_tip_w_backward_90th,turn_intra_duration_50th,relative_to_head_base_angular_velocity_head_tip_w_forward_abs_IQR,relative_to_head_base_radial_velocity_head_tip_w_backward_IQR,d_width_tail_base_IQR,relative_to_body_radial_velocity_tail_tip_w_backward_10th,speed_head_tip_w_backward_IQR
relative_to_head_base_radial_velocity_head_tip_w_backward_IQR,d_relative_to_tail_base_radial_velocity_tail_tip_50th,d_path_curvature_midbody_abs_90th,curvature_mean_neck_w_forward_abs_50th,d_relative_to_head_base_angular_velocity_head_tip_w_forward_abs_90th,curvature_head_w_forward_abs_IQR,d_path_curvature_midbody_abs_90th,speed_head_tip_w_backward_IQR,d_curvature_midbody_w_backward_abs_10th,d_relative_to_neck_radial_velocity_head_tip_w_forward_90th
